Kanji,Kana,Romaji,Type,Meaning
性格,せいかく,seikaku,N,"character, personality"
正確,せいかく,seikaku,N,"accurate, punctuality, exact"
世紀,せいき,seiki,N,century
請求,せいきゅう,seikyuu,N,"claim, demand, request"
税金,ぜいきん,zeikin,N,"tax, duty"
清潔,せいけつ,seiketsu,N,clean
制限,せいげん,seigen,N,"restriction, restraint, limitation"
成功,せいこう,seikou,N,"success, hit"
正式,せいしき,seishiki,N,"official, formal"
性質,せいしつ,seishitsu,N,"nature, property, disposition"
精神,せいしん,seishin,N,"mind, soul, spirit"
成人,せいじん,seijin,N,adult
精々,せいぜい,seizei,N,"at the most, at best"
成績,せいせき,seiseki,N,"grade (i.e., on a test)"
製造,せいぞう,seizou,N,"manufacture, production"
贅沢,ぜいたく,zeitaku,N,"luxury, extravagance"
成長,せいちょう,seichou,N,growth
生長,せいちょう,seichou,N,growth
制度,せいど,seido,N,"system, institution"
青年,せいねん,seinen,N,"youth, young man"
生年月日,せいねんがっぴ,seinengappi,N,birth date
製品,せいひん,seihin,N,"manufactured goods, finished goods"
政府,せいふ,seifu,N,"government, administration"
生物,せいぶつ,seibutsu,N,"living thing, organism"
生命,せいめい,seimei,N,life
整理,せいり,seiri,N,"sorting, arrangement"
咳,せき,seki,N,cough
石炭,せきたん,sekitan,N,coal
責任,せきにん,sekinin,N,"duty, responsibility"
石油,せきゆ,sekiyu,N,"oil, petroleum, kerosene"
世間,せけん,seken,N,"world, society"
説,せつ,setsu,N,theory
積極的,せっきょくてき,sekkyokuteki,N,"positive, active, proactive"
設計,せっけい,sekkei,N,"plan, design"
絶対,ぜったい,zettai,N,"definitely, without fail"
セット,セット,setto,N(kat),set
愛,あい,ai,N,love
相変わらず,あいかわらず,aikawarazu,N,"as ever, as usual"
愛情,あいじょう,aijou,N,"love, affection"
合図,あいず,aizu,N,"sign, signal"
アイスクリーム,アイスクリーム,aisukuriimu,N(kat),ice cream
愛する,あいする,aisuru,V-suru,to love
相手,あいて,aite,N,"partner, addressee"
あいにく,あいにく,ainiku,N,unfortunately
遭う,あう,au,Ctr,"to meet, to encounter"
アウト,アウト,auto,N(kat),out
明かり,あかり,akari,N,"lamplight, light"
空き,あき,aki,N,"vacancy, opening, space"
明らか,あきらか,akiraka,N,"obvious, clear"
諦める,あきらめる,akirameru,V-ichi,"to give up, to abandon"
飽きる,あきる,akiru,V-ichi,to get tired of
握手,あくしゅ,akushu,N,handshake
悪魔,あくま,akuma,N,"devil, demon, evil spirit"
明ける,あける,akeru,V-ichi,"to dawn, to become daylight"
揚げる,あげる,ageru,V-ichi,"to lift, to fry"
挙げる,あげる,ageru,V-ichi,"to raise, to list, to cite"
預かる,あずかる,azukaru,V-godan,to keep  for
預ける,あずける,azukeru,V-ichi,"to give into custody, to deposit"
汗,あせ,ase,N,"sweat, perspiration"
与える,あたえる,ataeru,V-ichi,to give
温かい,あたたかい,atatakai,い-A,warm
暖まる,あたたまる,atatamaru,V-godan,to warm up
温まる,あたたまる,atatamaru,V-godan,"to warm oneself, to get warm"
暖める,あたためる,atatameru,V-ichi,"to warm, to heat"
温める,あたためる,atatameru,V-ichi,"to warm, to heat"
辺り,あたり,atari,N,"vicinity, nearby"
当たり前,あたりまえ,atarimae,N,"usual, common, obvious"
当たる,あたる,ataru,V-godan,"to be hit, to be successful"
あちこち,あちこち,achikochi,N,here and there
扱う,あつかう,atsukau,V-godan,"to treat, to handle, to deal with"
集まり,あつまり,atsumari,N,"gathering, meeting, collection"
当てる,あてる,ateru,V-ichi,"to hit, to apply to"
跡,あと,ato,N,"trace, remains, scar"
穴,あな,ana,N,hole
油,あぶら,abura,N,oil
脂,あぶら,abura,N,fat
誤り,あやまり,ayamari,N,error
粗,あら,ara,N,"defect, flaw, fault"
嵐,あらし,arashi,N,storm
争う,あらそう,arasou,V-godan,"to dispute, to argue, to fight"
新た,あらた,arata,N,"new, fresh"
あらゆる,あらゆる,arayuru,N,"all, every"
表す,あらわす,arawasu,V-godan,"to express, to show"
現す,あらわす,arawasu,V-godan,"to show, to appear, to reveal"
著す,あらわす,arawasu,V-godan,"to write, to publish"
現れ,あらわれ,araware,Expr,"expression, indication, sign"
現れる,あらわれる,arawareru,V-ichi,"to appear, to become visible"
ありがとう,ありがとう,arigatou,Expr,Thank you
在る; 有る,ある,aru,V-godan,"to live, to be, to exist"
