Kanji,Kana,Romaji,Type,Meaning
寄せる,よせる,yoseru,V-ichi,"to collect, to gather"
予測,よそく,yosoku,N,"prediction, estimation"
ヨット,ヨット,yotto,N(kat),yacht
夜中,よなか,yonaka,N,"midnight, dead of night"
世の中,よのなか,yononaka,N,"society, the world"
余分,よぶん,yobun,N,"extra, excess, surplus"
予報,よほう,yohou,N,"forecast, prediction"
予防,よぼう,yobou,N,"prevention, protection against"
読み,よみ,yomi,N,reading
嫁,よめ,yome,N,"bride, daughter-in-law"
余裕,よゆう,yoyuu,N,"excess, surplus"
より,より,yori,N,"twist, ply"
因る,よる,yoru,V-godan,to come from
喜び,よろこび,yorokobi,N,"joy, pleasure, rejoicing"
よろしく (かん),よろしく (かん),yoroshiku (kan),N,"best regards, please remember me"
四,よん,yon,N,four
来,らい～,rai～,Pref,next ~
ライター,ライター,raitaa,N(kat),"lighter, writer"
楽,らく,raku,N,"comfort, ease"
ラケット,ラケット,raketto,N(kat),racket
利益,りえき,rieki,N,"profits, gains"
理解,りかい,rikai,N,"understanding, comprehension"
陸,りく,riku,N,"land, shore"
利口,りこう,rikou,N,"clever, shrewd, bright"
離婚,りこん,rikon,N,divorce
理想,りそう,risou,N,ideal
率,りつ,ritsu,N,"rate, ratio, percentage"
留学,りゅうがく,ryuugaku,N,studying abroad
流行,りゅうこう,ryuukou,N,"fashionable, fad, prevailing"
量,りょう,ryou,N,"quantity, amount"
寮,りょう,ryou,N,"hostel, dormitory"
両替,りょうがえ,ryougae,N,"change, money exchange"
料金,りょうきん,ryoukin,N,"fee, charge, fare"
例,れい,rei,N,"instance, example, case"
礼,れい,rei,Expr,"expression of gratitude, bow"
例外,れいがい,reigai,N,exception
礼儀,れいぎ,reigi,N,"manners, courtesy, etiquette"
冷静,れいせい,reisei,い-A,"calm, coolness"
列,れつ,retsu,N,"queue, line, row"
列車,れっしゃ,ressha,N,train
レベル,レベル,reberu,N(kat),level
連想,れんそう,rensou,N,"association, suggestion"
連続,れんぞく,renzoku,N,"consecutive, continuity"
老人,ろうじん,roujin,N,"the aged, old person"
労働,ろうどう,roudou,N,"labor, work"
ロケット,ロケット,roketto,N(kat),"locket, rocket"
論じる,ろんじる,ronjiru,V-ichi,"to argue, to discuss"
論争,ろんそう,ronsou,N,"controversy, dispute"
論文,ろんぶん,ronbun,N,"thesis, paper"
輪,わ,wa,N,"ring, hoop, circle"
ワイン,ワイン,wain,N(kat),wine
わがまま,わがまま,wagamama,N,"selfishness, egoism, willfulness"
別れ,わかれ,wakare,N,"parting, separation, farewell"
分かれる,わかれる,wakareru,V-ichi,"to branch off, to diverge from"
脇,わき,waki,N,side
湧く,わく,waku,V-godan,"to boil, to grow hot"
分ける,わける,wakeru,V-ichi,"to divide, to separate"
わざと,わざと,wazato,N,on purpose
僅か,わずか,wazuka,Adv,"only, merely, a little"
綿,わた,wata,N,cotton
話題,わだい,wadai,N,"topic, subject"
笑い,わらい,warai,N,"laugh, laughter, smile"
割る,わる,waru,V-godan,"to divide, to break"
悪口,わるくち,warukuchi,N,"abuse, insult"
我々,われわれ,wareware,N,we
湾,わん,wan,N,"bay, gulf, inlet"
椀,わん,wan,N,bowl
碗,わん,wan,N,bowl
悪,あく,aku,N,"evil, vice"
当り,あたり,atari,N,"hit, success, reaching the mark"
アップ,アップ,appu,N(kat),up
宛てる,あてる,ateru,V-ichi,"to address, to put"
アンケート,アンケート,ankeeto,N(kat),"questionnaire, survey"
異,い,i,N,difference
意,い,i,N,will
医院,いいん,iin,N,"doctor's office, clinic"
怒り,いかり,ikari,N,anger
粋,いき,iki,N,"chic, style, purity"
意地,いじ,iji,N,"disposition, spirit, obstinacy"
依然,いぜん,izen,Adv,"still, as yet"
傷める,いためる,itameru,V-ichi,"to damage, to impair, to spoil"
炒める,いためる,itameru,V-ichi,to stir-fry
一帯,いったい,ittai,N,"a region, the whole place"
異動,いどう,idou,N,"a change, transfer"
衣料,いりょう,iryou,N,clothing
渦,うず,uzu,N,swirl
埋まる,うまる,umaru,V-godan,"to be buried, to be filled"
産む,うむ,umu,V-godan,"to give birth, to deliver"
縁,えん,en,N,"chance, tie, relationship"
尾,お,o,N,"tail, ridge"
負う,おう,ou,V-godan,"to bear, to owe"
遅れ,おくれ,okure,N,"delay, lag"
教え,おしえ,oshie,N,"teachings, doctrine"
驚き,おどろき,odoroki,N,"surprise, astonishment, wonder"
織る,おる,oru,V-godan,to weave
欠く,かく,kaku,V-godan,"to lack, to crack"
角,かく,kaku,N,angle
核,かく,kaku,N,"nucleus, kernel"
格,かく,kaku,N,"status, character, case"
学歴,がくれき,gakureki,N,academic background
駆ける,かける,kakeru,V-ichi,to run
賭ける,かける,kakeru,V-ichi,"to bet, to risk, to gamble"
課題,かだい,kadai,N,"subject, theme, task"
片付け,かたづけ,katadzuke,N,"tidying up, finishing"
加味,かみ,kami,N,"seasoning, flavoring"
借り,かり,kari,N,"borrowing, debt, loan"
狩り,かり,kari,N,hunting
管,かん,kan,N,"pipe, tube"
～観,かん,kan,Suf,"feeling, view"
癌,がん,gan,N,cancer
刊行,かんこう,kankou,N,"publication, issue"
慣行,かんこう,kankou,N,"customary practice, habit"
歓声,かんせい,kansei,N,"cheer, shout of joy"
官僚,かんりょう,kanryou,N,"bureaucrat, bureaucracy"
器官,きかん,kikan,N,"organ (of body, instrument)"
季刊,きかん,kikan,N,"quarterly (e.g., magazine)"
起源,きげん,kigen,N,"origin, beginning, rise"
機構,きこう,kikou,N,"mechanism, organization"
築く,きずく,kizuku,V-godan,"to build, to establish"
規制,きせい,kisei,N,regulation
丘陵,きゅうりょう,kyuuryou,N,hill
協議,きょうぎ,kyougi,N,"conference, discussion"
享受,きょうじゅ,kyouju,N,"enjoyment, being given"
協調,きょうちょう,kyouchou,N,"co-operation, conciliation"
切り,きり,kiri,N,"limits, place to leave off"
菌,きん,kin,N,"germ, bacterium"
近視,きんし,kinshi,N,nearsightedness
苦,く,ku,N,"trouble, worry, difficulty"
群,ぐん,gun,N,group
刑,けい,kei,N,"penalty, sentence, punishment"
経緯,けいい,keii,N,"sequence of events, course"
計器,けいき,keiki,N,"meter, gauge"
契機,けいき,keiki,N,"opportunity, chance"
携帯,けいたい,keitai,い-A,carrying something
形態,けいたい,keitai,N,"form, shape, figure"
血管,けっかん,kekkan,N,blood vessel
決行,けっこう,kekkou,N,"doing, carrying out (e.g., a plan)"
件,けん,ken,N,"matter, case, item"
減少,げんしょう,genshou,N,"decrease, reduction, decline"
公演,こうえん,kouen,N,public performance
後悔,こうかい,koukai,N,"regret, repentance"
航海,こうかい,koukai,N,"sail, voyage"
拘束,こうそく,kousoku,N,"restriction, restraint"
荒廃,こうはい,kouhai,N,ruin
降伏,こうふく,koufuku,N,"capitulation, surrender"
興奮,こうふん,koufun,N,"excitement, stimulation"
語句,ごく,goku,N,"words, phrases"
個々,ここ,koko,N,"individual, one by one"
故人,こじん,kojin,N,the deceased
小銭,こぜに,kozeni,N,"coins, small change"
ことによると,ことによると,kotoniyoruto,N,(depending on the circumstances)
コンテスト,コンテスト,kontesuto,N(kat),contest
採集,さいしゅう,saishuu,N,"collecting, gathering"
作,さく,saku,N,"a work, a harvest"
策,さく,saku,N,"plan, policy"
設備,せつび,setsubi,N,"equipment, device, facilities"
絶滅,ぜつめつ,zetsumetsu,N,"destruction, extinction"
節約,せつやく,setsuyaku,N,"economizing, saving"
攻める,せめる,semeru,V-ichi,"to attack, to assault"
責める,せめる,semeru,V-ichi,"to condemn, to blame, to criticize"
善,ぜん,zen,N,"good, virtue"
全,ぜん,zen,N,"all, whole, entire"
全員,ぜんいん,zenin,N,all members
専攻,せんこう,senkou,N,"major subject, special study"
全国,ぜんこく,zenkoku,N,"the entire nation, country-wide"
洗剤,せんざい,senzai,N,detergent
先日,せんじつ,senjitsu,N,"the other day, a few days ago"
前者,ぜんしゃ,zensha,N,the former
選手,せんしゅ,senshu,N,player selected for a team
全身,ぜんしん,zenshin,N,"the whole body, full-length"
前進,ぜんしん,zenshin,N,"advance, drive, progress"
センター,センター,sentaa,N(kat),center
全体,ぜんたい,zentai,Pron,"whole, entirety, whatever"
選択,せんたく,sentaku,N,"selection, choice"
宣伝,せんでん,senden,N,"advertisement, publicity"
象,ぞう,zou,N,elephant
騒音,そうおん,souon,N,noise
増加,ぞうか,zouka,N,"increase, addition"
操作,そうさ,sousa,N,"operation, management, processing"
想像,そうぞう,souzou,N,"imagination, guess"
相続,そうぞく,souzoku,N,"succession, inheritance"
装置,そうち,souchi,N,"equipment, installation, apparatus"
相当,そうとう,soutou,N,"considerably, fairly, worth ~"
速度,そくど,sokudo,N,"speed, velocity, rate"
底,そこ,soko,N,"bottom, sole"
そこで,そこで,sokode,N,"so, accordingly"
組織,そしき,soshiki,N,"organization, structure, tissue"
そして,そして,soshite,Conj,and then
注ぐ,そそぐ,sosogu,V-godan,to pour
育つ,そだつ,sodatsu,V-godan,"to be brought up, to grow"
そっくり,そっくり,sokkuri,N,"the splitting image of, entirely"
そっと,そっと,sotto,Adv,"softly, gently"
袖,そで,sode,N,sleeve
備える,そなえる,sonaeru,V-ichi,"to prepare, to furnish, to store"
具える,そなえる,sonaeru,V-ichi,to be furnished with
そのうえ,そのうえ,sonoue,N,"in addition, furthermore"
そのうち,そのうち,sonouchi,Adv,"before long, eventually"
そのまま,そのまま,sonomama,N,"without change, as it is (e.g."
蕎麦,そば,soba,N,soba
ソファー,ソファー,sofaa,N(kat),"sofa, couch"
粗末,そまつ,somatsu,N,"humble, miserable, crude"
それぞれ,それぞれ,sorezore,N,"each, every, respectively"
それでも,それでも,soredemo,N,"but, and yet, nevertheless"
それと,それと,soreto,Conj,and
それとも,それとも,soretomo,N,"or, or else"
揃う,そろう,sorou,V-godan,"to become complete, to be equal"
揃える,そろえる,soroeru,V-ichi,"to put things in order, to arrange"
損,そん,son,N,"loss, disadvantage"
損害,そんがい,songai,N,"damage, loss"
尊敬,そんけい,sonkei,N,"respect, reverence, honor"
存在,そんざい,sonzai,N,"existence, being"
尊重,そんちょう,sonchou,N,"respect, esteem, regard"
田,た,ta,N,rice field
他,た,ta,N,other
対,たい,tai,N,"pair, couple, set"
大,だい,dai,い-A,"big, great"
題,だい,dai,N,"title, subject, theme"
体育,たいいく,taiiku,N,"physical education, gymnastics"
体温,たいおん,taion,N,temperature
大会,たいかい,taikai,い-A,"convention, tournament"
大気,たいき,taiki,N,atmosphere
代金,だいきん,daikin,N,"price, cost"
退屈,たいくつ,taikutsu,N,"tedium, boring"
滞在,たいざい,taizai,N,"stay, sojourn"
大使,たいし,taishi,N,ambassador
大した,たいした,taishita,N,"significant, great, considerable"
体重,たいじゅう,taijuu,N,weight
対象,たいしょう,taishou,N,"target, object (of worship, study"
対照,たいしょう,taishou,N,"contrast, antithesis, comparison"
大臣,だいじん,daijin,N,cabinet minister
対する,たいする,taisuru,V-suru,"to face, to confront, to oppose"
大戦,たいせん,taisen,N,"great war, great battle"
態度,たいど,taido,N,"attitude, manner"
大統領,だいとうりょう,daitouryou,N,president
大半,たいはん,taihan,N,"most of, majority, mostly"
代表,だいひょう,daihyou,N,"representative, delegation"
大部分,だいぶぶん,daibubun,N,"most part, majority"
タイプライター,タイプライター,taipuraitaa,N(kat),typewriter
逮捕,たいほ,taiho,N,"arrest, apprehension, capture"
題名,だいめい,daimei,N,title
ダイヤ,ダイヤ,daiya,N(kat),"schedule, diamond"
太陽,たいよう,taiyou,N,sun
平ら,たいら,taira,N,"flatness, level, smooth"
代理,だいり,dairi,N,"representation, proxy, deputy"
大陸,たいりく,tairiku,N,continent
倒す,たおす,taosu,V-godan,"to throw down, to beat"
タオル,タオル,taoru,N(kat),towel
だが,だが,daga,Conj,"but, however"
互い,たがい,tagai,N,"mutual, each other"
高める,たかめる,takameru,V-ichi,"to raise, to lift, to boost"
宝,たから,takara,N,treasure
宅,たく,taku,N,"house, home"
炊く,たく,taku,V-godan,"to boil, to cook"
焚く,たく,taku,V-godan,"to burn, to kindle"
抱く,だく,daku,V-godan,"to embrace, to hug"
だけど,だけど,dakedo,Conj,however
たしか,たしか,tashika,N,"certain, sure"
確かめる,たしかめる,tashikameru,V-ichi,"to ascertain, to make sure"
多少,たしょう,tashou,Adv,a little )
助かる,たすかる,tasukaru,V-godan,"to be saved, helps"
助ける,たすける,tasukeru,V-ichi,"to help, to save, to rescue"
ただ,ただ,tada,N,"free of charge, just, only"
只,ただ,tada,N,"free of charge, mere, only"
唯,ただ,tada,N,"mere, sole, plain"
戦い,たたかい,tatakai,N,"battle, fight"
戦う,たたかう,tatakau,V-godan,"to fight, to compete, to battle"
叩く,たたく,tataku,V-godan,"to strike, to beat"
直ちに,ただちに,tadachini,Adv,"at once, immediately"
畳む,たたむ,tatamu,V-godan,to fold
立ち上がる,たちあがる,tachiagaru,V-godan,to stand up
立場,たちば,tachiba,N,"standpoint, position, situation"
建つ,たつ,tatsu,V-godan,"to stand, to be built, to erect"
経つ,たつ,tatsu,N,passes
達する,たっする,tassuru,V-suru,"to reach, to get to"
唯,たった,tatta,Adv,"only, just"
だって,だって,datte,Conj,"but, because, even"
たっぷり,たっぷり,tappuri,N,"full, in plenty, ample"
たとえ,たとえ,tatoe,N,"even if, no matter, though"
谷,たに,tani,N,valley
他人,たにん,tanin,N,"unrelated person, stranger"
種,たね,tane,N,"seed, material, cause"
束,たば,taba,N,"bunch, bundle"
足袋,たび,tabi,N,Japanese socks
度,たび,tabi,Ctr,counter for occurrences
旅,たび,tabi,N,"travel, trip, journey"
たびたび,たびたび,tabitabi,Adv,"often, repeatedly, frequently"
玉,たま,tama,N,"ball, sphere, coin"
球,たま,tama,N,"globe, sphere, ball"
弾,たま,tama,N,"bullet, shot"
偶,たま,tama,N,"even number, couple, friend"
騙す,だます,damasu,V-godan,"to trick, to cheat, to deceive"
偶々,たまたま,tamatama,N,"unexpectedly, accidentally"
たまらない,たまらない,tamaranai,N,"intolerable, unbearable"
溜まる,たまる,tamaru,V-godan,"to collect, to gather"
黙る,だまる,damaru,V-godan,to be silent
試し,ためし,tameshi,N,"trial, test"
試す,ためす,tamesu,V-godan,"to attempt, to test"
溜める,ためる,tameru,V-ichi,"to accumulate, to collect"
便り,たより,tayori,N,"news, correspondence, letter"
頼る,たよる,tayoru,V-godan,"to rely on, to have recourse to"
段,だん,dan,N,"step, stair, grade"
単位,たんい,tani,い-A,"credit, unit, denomination"
単語,たんご,tango,N,"word, vocabulary"
男子,だんし,danshi,N,young man
単純,たんじゅん,tanjun,N,simplicity
誕生,たんじょう,tanjou,N,birth
ダンス,ダンス,dansu,N(kat),dance
団体,だんたい,dantai,N,"organization, association"
担当,たんとう,tantou,N,charge
単なる,たんなる,tannaru,N,"mere, simple, sheer"
単に,たんに,tanni,N,"simply, merely"
地,ち,chi,N,earth
地位,ちい,chii,N,"position, status"
地域,ちいき,chiiki,N,"area, region"
チーズ,チーズ,chiizu,N(kat),cheese
チーム,チーム,chiimu,N(kat),team
知恵,ちえ,chie,N,"wisdom, wit, intelligence"
地下,ちか,chika,N,"basement, underground"
違い,ちがい,chigai,N,"difference, discrepancy"
違いない,ちがいない,chigainai,N,"sure, no mistaking it, for certain"
近頃,ちかごろ,chikagoro,N,"lately, recently, nowadays"
地球,ちきゅう,chikyuu,N,the earth
地区,ちく,chiku,N,"district, section"
遅刻,ちこく,chikoku,N,"lateness, late coming"
知事,ちじ,chiji,N,prefectural governor
知識,ちしき,chishiki,N,"knowledge, information"
父親,ちちおや,chichioya,N,father
知能,ちのう,chinou,N,"intelligence, brains"
地平線,ちへいせん,chiheisen,N,horizon
地方,ちほう,chihou,N,"area, locality, region"
茶,ちゃ,cha,N,tea
チャンス,チャンス,chansu,N(kat),"chance, opportunity"
ちゃんと,ちゃんと,chanto,な-A,"perfectly, properly, exactly"
中,ちゅう,chuu,N,"inside, middle, among"
注,ちゅう,chuu,N,"annotation, explanatory note"
中央,ちゅうおう,chuuou,N,"central, center, middle"
中学,ちゅうがく,chuugaku,N,"middle school, junior high school"
中古,ちゅうこ,chuuko,N,"used, second-hand"
中止,ちゅうし,chuushi,N,"suspension, stoppage"
駐車,ちゅうしゃ,chuusha,N,"parking (e.g., car)"
昼食,ちゅうしょく,chuushoku,N,lunch )
中心,ちゅうしん,chuushin,N,"center, core"
注目,ちゅうもく,chuumoku,N,"notice, attention, observation"
注文,ちゅうもん,chuumon,N,"order, request"
長期,ちょうき,chouki,N,long time period
調査,ちょうさ,chousa,N,"survey, investigation"
調子,ちょうし,choushi,N,"condition, state, tune, tone"
頂上,ちょうじょう,choujou,N,"top, summit, peak"
ちょうだい,ちょうだい,choudai,N,-- colloquial form of ください
貯金,ちょきん,chokin,N,savings
直接,ちょくせつ,chokusetsu,N,"direct, immediate, firsthand"
著者,ちょしゃ,chosha,N,"author, writer"
散らす,ちらす,chirasu,V-godan,"to scatter, to disperse"
散る,ちる,chiru,V-ichi,"to fall, to scatter (e.g."
遂に,ついに,tsuini,Adv,"finally, at last"
通過,つうか,tsuuka,N,"passage through, passing"
通貨,つうか,tsuuka,N,currency
通学,つうがく,tsuugaku,N,commuting to school
通勤,つうきん,tsuukin,N,commuting to work
通行,つうこう,tsuukou,N,"passage, passing"
通じる,つうじる,tsuujiru,V-ichi,"to run to, to lead to"
通信,つうしん,tsuushin,N,"correspondence, communications"
通訳,つうやく,tsuuyaku,N,"interpretation, interpreter"
捕まる,つかまる,tsukamaru,V-godan,"to be arrested, to be caught"
掴む,つかむ,tsukamu,V-godan,"to seize, to catch, to grasp"
疲れ,つかれ,tsukare,N,"tiredness, fatigue"
付き合い,つきあい,tsukiai,N,"socialization, friendship"
付合う,つきあう,tsukiau,V-godan,to associate with
次々,つぎつぎ,tsugitsugi,N,"in succession, one by one"
付く,つく,tsuku,V-godan,"to adjoin, to be attached"
就く,つく,tsuku,V-godan,"to settle in, to take, to study"
突く,つく,tsuku,V-godan,"to thrust, to strike, to poke"
次ぐ,つぐ,tsugu,V-godan,"to rank next to, to come after"
注ぐ,つぐ,tsugu,V-godan,to pour
付ける,つける,tsukeru,V-ichi,"to attach, to join, to add"
着ける,つける,tsukeru,V-ichi,"to put on, to wear, to draw up"
伝わる,つたわる,tsutawaru,V-godan,to be handed down
土,つち,tsuchi,N,"earth, soil"
続き,つづき,tsudzuki,N,"sequel, continuation"
包み,つつみ,tsutsumi,N,"bundle, package"
勤め,つとめ,tsutome,N,"work, employment"
務め,つとめ,tsutome,N,duty
繋がる,つながる,tsunagaru,V-godan,to be connected to
繋ぐ,つなぐ,tsunagu,V-godan,"to tie, to fasten, to connect"
繋げる,つなげる,tsunageru,V-ichi,to connect
常に,つねに,tsuneni,Expr,always
翼,つばさ,tsubasa,N,wings
つまり,つまり,tsumari,N,"namely, in other words, in short"
罪,つみ,tsumi,N,"crime, fault, indiscretion"
積む,つむ,tsumu,V-godan,"to pile up, to stack"
詰める,つめる,tsumeru,V-ichi,"to pack, to shorten, to work out"
積もる,つもる,tsumoru,V-godan,to pile up
梅雨,つゆ,tsuyu,N,rainy season
辛い,つらい,tsurai,い-A,"painful, heart-breaking"
釣,つり,tsuri,N,fishing
連れ,つれ,tsure,N,"companion, company"
出,で,de,N,"outflow, coming  out, graduate"
出会い,であい,deai,Ctr,"meeting, rendezvous, encounter"
出合い,であい,deai,Ctr,an encounter
出会う,であう,deau,Ctr,"to meet by chance, to come across"
提案,ていあん,teian,N,"proposal, proposition, suggestion"
定期,ていき,teiki,N,fixed term
抵抗,ていこう,teikou,N,"resistance, opposition"
提出,ていしゅつ,teishutsu,N,"presentation, submission, filing"
停電,ていでん,teiden,N,failure of electricity
程度,ていど,teido,N,"degree, amount, level"
停留所,ていりゅうじょ,teiryuujo,N,bus or tram stop
デート,デート,deeto,N(kat),date
敵,てき,teki,N,"enemy, rival"
出来事,できごと,dekigoto,N,"incident happening, event"
適する,てきする,tekisuru,V-suru,"to fit, to suit"
適切,てきせつ,tekisetsu,な-A,"appropriate, adequate, relevance"
適度,てきど,tekido,N,moderate
適用,てきよう,tekiyou,N,applying
できれば,できれば,dekireba,N,if possible…
手品,てじな,tejina,N,"conjuring trick, magic"
ですから,ですから,desukara,Conj,therefore
鉄,てつ,tetsu,N,iron
哲学,てつがく,tetsugaku,N,philosophy
手伝い,てつだい,tetsudai,N,"help, helper, assistant"
徹底,てってい,tettei,い-A,"thoroughness, completeness"
鉄道,てつどう,tetsudou,N,"railway, railroad"
徹夜,てつや,tetsuya,N,staying up all night
手間,てま,tema,N,"time, labor"
デモ,デモ,demo,N(kat),"demo, demonstration"
典型,てんけい,tenkei,N,"type, pattern, archetypal"
天候,てんこう,tenkou,N,weather
電子,でんし,denshi,N,"electron, electronic"
テント,テント,tento,N(kat),tent
伝統,でんとう,dentou,N,"tradition, convention"
天然,てんねん,tennen,N,"nature, spontaneity"
問い,とい,toi,N,"question, query"
党,とう,tou,N,party
塔,とう,tou,N,"tower, pagoda"
答案,とうあん,touan,N,examination paper
同一,どういつ,douitsu,N,"identity, sameness, similarity"
銅貨,どうか,douka,N,copper coin
当時,とうじ,touji,N,"at that time, in those days"
動詞,どうし,doushi,N,verb
同時,どうじ,douji,N,"simultaneous, same time"
どうしても,どうしても,doushitemo,N,"at any cost, no matter what"
どうぞよろしく,どうぞよろしく,douzoyoroshiku,Expr,pleased to meet you
到着,とうちゃく,touchaku,N,arrival
道徳,どうとく,doutoku,N,morals
投票,とうひょう,touhyou,N,"voting, poll"
東洋,とうよう,touyou,N,Orient
同様,どうよう,douyou,N,"identical, same, like"
童謡,どうよう,douyou,N,"children's song, nursery rhyme"
同僚,どうりょう,douryou,N,"colleague, co-worker"
道路,どうろ,douro,N,road
通す,とおす,toosu,V-godan,"to let pass, to overlook"
通り過ぎる,とおりすぎる,toorisugiru,V-ichi,"to pass, to pass through"
都会,とかい,tokai,N,city
溶く,とく,toku,V-godan,to dissolve
解く,とく,toku,V-godan,"to unfasten, answer, solve"
退く,どく,doku,V-godan,"to retreat, to recede, to withdraw"
毒,どく,doku,N,"poison, toxicant"
得意,とくい,tokui,N,"pride, triumph, prosperity"
読書,どくしょ,dokusho,N,reading
独身,どくしん,dokushin,N,"single, unmarried"
特徴,とくちょう,tokuchou,N,"characteristic, feature, trait"
特長,とくちょう,tokuchou,N,"forte, merit"
独特,どくとく,dokutoku,N,"peculiarity, uniqueness"
独立,どくりつ,dokuritsu,N,"independence (e.g., Ind. Day)"
溶ける,とける,tokeru,V-ichi,"to melt, to thaw, to dissolve"
解ける,とける,tokeru,V-ichi,"to come untied, to come apart"
どこか,どこか,dokoka,N,"somewhere, anywhere"
ところが,ところが,tokoroga,Conj,"however, while, even if"
ところで,ところで,tokorode,N,"by the way, even if"
登山,とざん,tozan,N,mountain-climbing
都市,とし,toshi,N,"town, city, urban"
年月,としつき,toshitsuki,N,months and years
図書,としょ,tosho,N,books
年寄,としより,toshiyori,N,"old people, the aged"
閉じる,とじる,tojiru,V-ichi,"to close (e.g., book, eyes)"
途端,とたん,totan,Adv,"just (now, at the moment, etc.)"
土地,とち,tochi,N,"plot of land, lot, soil"
突然,とつぜん,totsuzen,N,"abruptly, suddenly, unexpectedly"
トップ,トップ,toppu,N(kat),top
届く,とどく,todoku,V-godan,to reach
とにかく,とにかく,tonikaku,N,"anyhow, at any rate, anyway"
飛ばす,とばす,tobasu,V-godan,"to skip over, to omit"
飛び出す,とびだす,tobidasu,V-godan,"to jump out, to rush out"
留める,とめる,tomeru,V-ichi,"to fasten, to turn off, to detain"
泊める,とめる,tomeru,V-ichi,to have someone stay
友,とも,tomo,N,"friend, companion, pal"
共に,ともに,tomoni,N,"sharing with, participate in"
虎,とら,tora,N,tiger
ドライブ,ドライブ,doraibu,N(kat),"drive, driving"
トラック,トラック,torakku,N(kat),"truck, track"
ドラマ,ドラマ,dorama,N(kat),drama
トランプ,トランプ,toranpu,N(kat),playing cards
取り上げる,とりあげる,toriageru,V-ichi,"to take up, to pick up"
努力,どりょく,doryoku,N,"great effort, exertion, endeavor"
トレーニング,トレーニング,toreeningu,N(kat),training
ドレス,ドレス,doresu,N(kat),dress
取れる,とれる,toreru,V-ichi,"to come off, to be taken off"
泥,どろ,doro,N,mud
トン,トン,ton,N(kat),ton
とんでもない,とんでもない,tondemonai,N,"outrageous, No way!"
どんなに,どんなに,donnani,N,"how, how much"
トンネル,トンネル,tonneru,N(kat),tunnel
名,な,na,N,"name, reputation"
内容,ないよう,naiyou,N,"subject, contents, detail"
なお,なお,nao,Adv,"still, yet"
仲,なか,naka,N,"relation, relationship"
流す,ながす,nagasu,V-godan,"to drain, to float, to shed (e.g."
半ば,なかば,nakaba,N,"middle, halfway"
仲間,なかま,nakama,N,"company, fellow, colleague"
中身,なかみ,nakami,N,"content, substance"
中味,なかみ,nakami,N,"contents, interior, filling"
眺め,ながめ,nagame,N,"scene, view, prospect, outlook"
眺める,ながめる,nagameru,V-ichi,"to view, to gaze at"
流れ,ながれ,nagare,N,"stream, current"
流れる,ながれる,nagareru,V-ichi,"to flow, to be washed away"
亡くす,なくす,nakusu,V-godan,to lose someone
殴る,なぐる,naguru,V-godan,"to strike, to hit, to punch"
無し,なし,nashi,N,without
なぜなら,なぜなら,nazenara,N,because
謎,なぞ,nazo,N,"riddle, puzzle, enigma"
納得,なっとく,nattoku,N,"consent, assent, understanding"
何か,なにか,nanika,N,something
なにも,なにも,nanimo,N,nothing
鍋,なべ,nabe,N,"saucepan, pot"
生,なま,nama,N,"raw, unprocessed"
怠ける,なまける,namakeru,V-ichi,"to be idle, to neglect"
波,なみ,nami,N,wave
涙,なみだ,namida,N,tear
悩む,なやむ,nayamu,V-godan,"to agonize, to be troubled"
鳴らす,ならす,narasu,V-godan,"to ring, to sound"
為る,なる,naru,V-godan,"to change, to be of use"
生る,なる,naru,V-godan,to bear fruit
馴れる,なれる,nareru,V-ichi,to become domesticated
縄,なわ,nawa,N,rope
何で,なんで,nande,Pron,"Why, What for"
何でも,なんでも,nandemo,Adv,"by all means, everything"
何とか,なんとか,nantoka,N,"somehow, anyhow"
似合う,にあう,niau,V-godan,"to suit, to match, becomes"
煮える,にえる,nieru,V-ichi,"to boil, to cook, to be cooked"
苦手,にがて,nigate,N,"poor, weak, dislike"
握る,にぎる,nigiru,V-ichi,"to grasp, to seize, to mold sushi"
日,にち,nichi,N,day
日常,にちじょう,nichijou,N,"ordinary, regular, everyday"
日光,にっこう,nikkou,N,sunlight
日中,にっちゅう,nitchuu,N,"daytime, broad daylight"
にっこり,にっこり,nikkori,N,"smile sweetly, smile, grin"
日本,にっぽん,nippon,N,Japan
日本,にほん,nihon,N,Japan
入場,にゅうじょう,nyuujou,N,"entrance, admission, entering"
煮る,にる,niru,V-ichi,"to boil, to cook"
人気,にんき,ninki,N,popularity
人間,にんげん,ningen,N,"human being, person"
抜く,ぬく,nuku,V-godan,"to extract, to omit, to unplug"
抜ける,ぬける,nukeru,V-ichi,"to come out, to fall out"
布,ぬの,nuno,N,cloth
濡らす,ぬらす,nurasu,V-godan,"to wet, to soak"
根,ね,ne,N,root
値,ね,ne,N,"value, price, cost"
願い,ねがい,negai,N,"desire, wish, request"
願う,ねがう,negau,V-godan,"to desire, to wish, to request"
鼠,ねずみ,nezumi,N,"mouse, rat"
熱帯,ねったい,nettai,N,tropics
熱中,ねっちゅう,netchuu,N,"enthusiasm, zeal, mania"
年間,ねんかん,nenkan,N,year
年月,ねんげつ,nengetsu,N,months and years
年中,ねんじゅう,nenjuu,Pron,"whole year, always, everyday"
年代,ねんだい,nendai,N,"age, era, period"
年齢,ねんれい,nenrei,N,"age, years"
野,の,no,N,field
能,のう,nou,N,"being skilled in, nicely, properly"
農家,のうか,nouka,N,"farmer, farm family"
農業,のうぎょう,nougyou,N,agriculture
農民,のうみん,noumin,N,"farmers, peasants"
