#,ごい,Vocabulary,Type,Meaning
,,はじまる,,
137,初めて,hajimete,Adverb,for the first time
,,はじめて,,
138,箱,hako,Noun,box; crate
,,はこ,,
139,履く,haku,"Verb, Godan verb, Transitive verb","to wear, to put on trousers"
,,はく,,
140,半,han,Noun,half; semi-; half-past
,,はん,,
141,花,hana,Noun,flower
,,はな,,
142,鼻,hana,Noun,nose
,,はな,,
143,話,hanashi,Noun,talk; speech; chat; conversation​
,,はなし,,
144,話す,hanasu,"Verb, Godan verb, Transitive verb",to speak; to talk; to converse
,,はなす,,
145,半分,hanbun,Noun,half
,,はんぶん,,
146,ハンカチ,hankachi,"Noun, Katakana",handkerchief​
147,晴れ,hare,Noun,clear weather
,,はれ,,
148,晴れる,hareru,"Verb, Ichidan verb, Intransitive verb",to be sunny
,,はれる,,
149,春,haru,Noun,spring; springtime
,,はる,,
150,貼る,haru,"Verb, Godan verb, Transitive verb",to stick; to paste
,,はる,,
151,箸,hashi,Noun,chopsticks
,,はし,,
152,橋,hashi,Noun,bridge
,,はし,,
153,走る,hashiru,"Verb, Godan verb, Intransitive verb",to run
,,はしる,,
154,二十歳,hatachi,Noun,20 years old; twenty years old
,,はたち,,
155,働く,hataraku,"Verb, Godan verb, Intransitive verb",to work
,,はたらく,,
156,二十日,hatsuka,Noun,twentieth day of the month / 20 days
,,はつか,,
157,速い,hayai,"Adjective, い-adjective",fast; quick; hasty; brisk
,,はやい,,
158,早い,hayai,"Adjective, い-adjective",fast; early
,,はやい,,
159,辺,hen,Noun,area
,,へん,,
160,下手,heta,"Noun, Adjective, な-adjective",unskillful; poor; awkward​
,,へた,,
161,部屋,heya,Noun,room
,,へや,,
162,左,hidari,Noun,left; left hand side
,,ひだり,,
163,東,higashi,Noun,east
,,ひがし,,
164,飛行機,hikouki,Noun,airplane; aircraft
,,ひこうき,,
165,引く,hiku,"Verb, Godan verb, Transitive verb",to pull
,,ひく,,
166,弾く,hiku,"Verb, Godan verb, Transitive verb",to play
,,ひく,,
167,低い,hikui,い-adjective,"short,low"
,,ひくい,,
168,暇,hima,"Noun, な-adjective",free time
,,ひま,,
169,広い,hiroi,い-adjective,spacious; vast; wide
,,ひろい,,
170,昼,hiru,Noun,noon; midday; daytime; lunch
,,ひる,,
171,昼ご飯,hirugohan,Noun,lunch
,,ひるごはん,,
172,人,hito,Noun,person; human
,,ひと,,
173,一人,hitori,"Noun, Adverb",one person​; alone; single
,,ひとり,,
174,一つ,hitotsu,"Noun, Numeric",one thing; only
,,ひとつ,,
175,ほか,hoka,Noun,"other (place, thing, person); the rest"
176,本,hon,Noun,book; volume; script
,,ほん,,
177,本棚,hondana,Noun,bookshelf; bookcase
,,ほんだな,,
178,本当,hontou,"Noun, Adjective, な-adjective",truth; reality; actuality; fact
,,ほんとう,,
179,欲しい,hoshii,"Adjective, い-adjective",want
,,ほしい,,
180,細い,hosoi,"Adjective, い-adjective",thin; slender
,,ほそい,,
181,ホテル,hoteru,"Noun, Katakana",hotel
182,百,hyaku,"Noun, Numeric",100; hundred
,,ひゃく,,
183,一,ichi,"Noun, Prefix, Suffix, Numeric",one; best; first; foremost; start
,,いち,,
184,一番,ichiban,"Noun, Adverb","number one; first; 1st, first place​; best; most​"
,,いちばん,,
185,一日,ichinichi,"Noun, Adverbial Noun","one day, all day"
,,いちにち,,
186,家,ie,Noun,"house, residence, family"
,,いえ,,
187,いかが,ikaga,Adverb,how; in what way; how about​
188,池,ike,Noun,pond
,,いけ,,
189,行く,iku,"Verb, Godan verb, Intransitive verb",to go; to move
,,いく,,
190,いくら,ikura,"Noun, Adverb",how much?; how many?​
191,いくつ,ikutsu,Adverb,"how many?,how old?"
192,今,ima,"Noun, Adverbial Noun",now; the present time; soon
,,いま,,
193,意味,imi,Noun,meaning; significance; sense
,,いみ,,
194,妹,imouto,Noun,younger sister
,,いもうと,,
195,犬,inu,Noun,dog
,,いぬ,,
196,入れる,ireru,"Verb, Ichidan verb, Transitive verb",to put in; to let in; to take in; to bring in; to insert; to install
,,いれる,,
197,入口,iriguchi,Noun,entrance; entry; gate
,,いりぐち,,
198,色,iro,Noun,colour; color
,,いろ,,
199,色々,iroiro,"Noun, Adjective, な-adjective, Adverb",various
,,いろいろ,,
200,要る,iru,"Verb, Godan verb, Intransitive verb",to be needed
,,いる,,
201,居る,iru,"Verb, Ichidan verb, Intransitive verb","to be, to have"
,,いる,,
202,医者,isha,Noun,(medical) doctor; physician
,,いしゃ,,
203,忙しい,isogashii,"Adjective, い-adjective",busy
,,いそがしい,,
204,一緒,issho,Noun,together; at the same time; same; identical
,,いっしょ,,
205,椅子,isu,Noun,chair
,,いす,,
206,痛い,itai,"Adjective, い-adjective",painful; sore​
,,いたい,,
