Kanji,Kana,Romaji,Type,Meaning
程,ほど,hodo,N,"degree, extent"
代わり,かわり,kawari,N,"substitute, replacement"
失敗,しっぱい,shippai,N,"failure, mistake"
工業,こうぎょう,kougyou,N,industry
移る,うつる,utsuru,V-godan,"to move, to transfer, to shift"
スーツケース,スーツケース,suutsukeesu,N(kat),suitcase
ひげ,ひげ,hige,N,beard
研究室,けんきゅうしつ,kenkyuushitsu,N,"the professor's office, laboratory"
工場,こうじょう,koujou,N,factory
紹介,しょうかい,shoukai,N,an introduction
けれど; けれども,けれど; けれども,keredo; keredomo,Conj,"but, although"
舟,ふね,fune,N,"ship, boat"
動く,うごく,ugoku,V-godan,to move
～(に) ついて,～(に) ついて,～(ni) tsuite,Suf,"about, concerning"
コンサート,コンサート,konsaato,N(kat),concert
虫,むし,mushi,N,insect
優しい,やさしい,yasashii,い-A,"kind, gentle, easy"
植える,うえる,ueru,V-ichi,to plant
両方,りょうほう,ryouhou,N,"both sides, both parties"
汚れる,よごれる,yogoreru,V-ichi,to become dirty
水泳,すいえい,suiei,N,swimming
経験,けいけんする,keikensuru,N,experience
勝つ,かつ,katsu,V-godan,to win
砂,すな,suna,N,sand
警察,けいさつ,keisatsu,N,"police, police station"
取り替える,とりかえる,torikaeru,V-ichi,"to exchange, to replace"
急ぐ,いそぐ,isogu,V-godan,"to hurry, to be in a hurry"
簡単,かんたん,kantan,な-A,simple
参る,まいる,mairu,Expr,humble expression for 行く and 来る
全然,ぜんぜん,zenzen,N,"not at all, wholly, entirely"
特別,とくべつ,tokubetsu,な-A,special
復習,ふくしゅう,fukushuu,N,"review, revision"
間に合う,まにあう,maniau,V-godan,to be in time for
役に立つ,やくにたつ,yakunitatsu,V-godan,"to be helpful, to be useful"
もうすぐ,もうすぐ,mousugu,Adv,"very soon, in a few moments, days"
真中,まんなか,mannaka,N,"middle, center"
戻る,もどる,modoru,V-godan,"to return, to come back"
研究,けんきゅう,kenkyuu,N,"study, research, investigation"
ケーキ,ケーキ,keeki,N(kat),cake
草,くさ,kusa,N,grass
込む,こむ,komu,V-godan,to be crowded
この頃,このごろ,konogoro,N,"these days, nowadays"
訪ねる,たずねる,tazuneru,V-ichi,to visit
下げる,さげる,sageru,V-ichi,"to lower, to hang"
花見,はなみ,hanami,N,cherry-blossom viewing
途中,とちゅう,tochuu,N,"on the way, midway"
入院,にゅういんする,nyuuinsuru,N,hospitalization
乗り換える,のりかえる,norikaeru,V-ichi,"to transfer, to change (bus, train"
別れる,わかれる,wakareru,V-ichi,"to part from, to separate"
～町,～ちょう,～chou,Suf,the town of ~
安全,あんぜん,anzen,な-A,"safety, security"
看護婦,かんごふ,kangofu,N,nurse
見物,けんぶつ,kenbutsu,N,sightseeing
相談,そうだんする,soudansuru,N,consultation
テニス,テニス,tenisu,N(kat),tennis
眠る,ねむる,nemuru,V-godan,to sleep
上がる,あがる,agaru,V-godan,"to rise, to go up"
翻訳,ほんやく,honyaku,N,translation
食事,しょくじする,shokujisuru,N,meal
お陰,おかげ,okage,N,thanks or owing to
娘,むすめ,musume,N,daughter
湯,ゆ,yu,N,hot water
競争,きょうそう,kyousou,N,"competition, contest"
会議,かいぎ,kaigi,N,"business meeting, conference"
湖,みずうみ,mizuumi,N,lake
集まる,あつまる,atsumaru,V-godan,"to gather, to collect"
～にくい,～にくい,～nikui,Suf,difficult to do ~
生活,せいかつする,seikatsusuru,N,"living, life, to live"
糸,いと,ito,N,thread
関係,かんけい,kankei,N,"relation, connection"
ピアノ,ピアノ,piano,N(kat),piano
～目,～め,～me,Suf,"number ~ sequence, ~nd, ~th"
番組,ばんぐみ,bangumi,N,broadcast program
急,きゅう,kyuu,N,"urgent, sudden, steep"
棚,たな,tana,N,"shelves, rack"
木綿,もめん,momen,N,cotton
輸出,ゆしゅつする,yushutsusuru,N,export
タイプ,タイプ,taipu,N(kat),"type, style"
すり,すり,suri,N,pickpocket
嬉しい,うれしい,ureshii,V,"to be happy, to be glad"
アルコール,アルコール,arukooru,N(kat),alcohol
ソフト,ソフト,sofuto,N(kat),"soft, soft hat, software"
神社,じんじゃ,jinja,N,Shinto shrine
大分,だいぶ,daibu,N,"fairly well, to a large extent"
楽しみ,たのしみ,tanoshimi,N,"pleasure, joy"
趣味,しゅみ,shumi,N,"hobby, pastime"
電報,でんぽう,denpou,N,telegram
家内,かない,kanai,N,wife
指,ゆび,yubi,N,finger
これから,これから,korekara,N,"from now on, after this"
たまに,たまに,tamani,N,occasionally
社会,しゃかい,shakai,N,society
