Kanji,Kana,Romaji,Type,Meaning
通る,とおる,tooru,V-godan,"to pass, to go through"
過ぎる,すぎる,sugiru,V-ichi,"to exceed, to go beyond"
葉,は,ha,N,leaf
必要,ひつよう,hitsuyou,な-A,necessary
課長,かちょう,kachou,N,section manager
地震,じしん,jishin,N,earthquake
すると,すると,suruto,N,"and, then"
止める,やめる,yameru,V-ichi,"to end, to stop"
ガラス,ガラス,garasu,N(kat),"glass, pane"
～学部,～がくぶ,～gakubu,Suf,department of a university
厳しい,きびしい,kibishii,い-A,"hard, rigorous, strict"
人口,じんこう,jinkou,N,population
月,つき,tsuki,N,moon
絹,きぬ,kinu,N,silk
ちっとも,ちっとも,chittomo,N,not at all
深い,ふかい,fukai,い-A,"deep, profound"
壊れる,こわれる,kowareru,V-ichi,"to be broken, to break"
揺れる,ゆれる,yureru,V-ichi,"to shake, to sway"
落る,おちる,ochiru,V-ichi,"to fall, to drop"
できるだけ,できるだけ,dekirudake,N,if at all possible
悲しい,かなしい,kanashii,い-A,"sad, sorrowful"
中学校,ちゅうがっこう,chuugakkou,N,junior high school pupil
ガス,ガス,gasu,N(kat),gas
祈る,いのる,inoru,V-godan,"to pray, to wish"
盛ん,さかん,sakan,N,"prosperous, active, thriving"
アルバイト,アルバイト,arubaito,N(kat),part-time job
起こす,おこす,okosu,V-godan,to wake  up
致す,いたす,itasu,Expr,-- extra-modest expression for する --
噛む,かむ,kamu,V-godan,"to bite, to chew"
赤ちゃん,あかちゃん,akachan,N,"baby, infant"
浅い,あさい,asai,い-A,"shallow, superficial"
嘘,うそ,uso,N,lie
小説,しょうせつ,shousetsu,N,novel
親,おや,oya,N,a parent
それに,それに,soreni,N,"moreover, besides"
西洋,せいよう,seiyou,N,"the West, Western countries"
思う,おもう,omou,V-godan,"to think, to feel"
パート (タイム),パート (タイム),paato (taimu),N,part time
時代,じだい,jidai,N,"age, period, epoch, era"
申し上げる,もうしあげる,moushiageru,N,"to say, to tell"
～式,～しき,～shiki,Suf,"~ ceremony, ~ style"
出席,しゅっせきする,shussekisuru,N,attendance
～家,～か,～ka,Suf,person who is specialized in ~
迎える,むかえる,mukaeru,V-ichi,"to welcome, to meet, to greet"
触る,さわる,sawaru,V-godan,"to touch, to feel"
建て,～だて,～date,Suf,"~ storied, separate housing"
社長,しゃちょう,shachou,N,president of a company
動物園,どうぶつえん,doubutsuen,N,zoo
捕まえる,つかまえる,tsukamaeru,V-ichi,"to catch, to arrest"
季節,きせつ,kisetsu,N,season
寄る,よる,yoru,V-godan,to stop by
決まる,きまる,kimaru,V-godan,"to be set, fixed"
開く,ひらく,hiraku,V-godan,"to open, to hold"
逃げる,にげる,nigeru,V-ichi,"to escape, to run away"
だから,だから,dakara,N,"so, therefore"
残念,ざんねん,zannen,N,"regret, regrettable"
畳,たたみ,tatami,N,tatami mat
丁寧,ていねい,teinei,な-A,"polite, courteous, careful"
地理,ちり,chiri,N,geography
さっき,さっき,sakki,Adv,a little while ago
怖い,こわい,kowai,N,"scary, frightening"
包む,つつむ,tsutsumu,V-godan,"to wrap, to cover"
なるべく,なるべく,narubeku,N,"if possible, as much as possible"
無理,むり,muri,N,"unreasonable, impossible"
サンドイッチ,サンドイッチ,sandoitchi,N(kat),sandwich
会議室,かいぎしつ,kaigishitsu,N,conference room
品物,しなもの,shinamono,N,goods
人形,にんぎょう,ningyou,N,"doll, figure"
利用,りよう,riyou,N,"use, utilization"
飾る,かざる,kazaru,V-godan,"to decorate, to adorn"
止める,とめる,tomeru,V-ichi,to stop
恥ずかしい,はずかしい,hazukashii,N,"ashamed, embarrassed"
いくら～ても,いくら～ても,ikura～temo,Conj,however much one may ~
用事,ようじ,youji,N,"business to take care of, tasks"
ビル,ビル,biru,N(kat),building
けんかする,けんかする,kenkasuru,N,quarrel
頑張る,がんばる,ganbaru,V-godan,"to try one's best, to try hard"
投げる,なげる,nageru,V-ichi,"to pitch, to cast away"
故障,こしょうする,koshousuru,N,breakdown
力,ちから,chikara,N,"strength, power"
受ける,うける,ukeru,V-ichi,"to take (an examination, interview"
気分,きぶん,kibun,N,"feeling, mood"
間違える,まちがえる,machigaeru,V-ichi,to make a mistake
そんな,そんな,sonna,N,"such, like that, that sort of"
星,ほし,hoshi,N,star
場合,ばあい,baai,N,"case, situation"
やっと,やっと,yatto,Adv,"at last, finally"
足りる,たりる,tariru,V-ichi,"to be sufficient, to be enough"
行う,おこなう,okonau,V-godan,"to carry out, to conduct"
ぶどう,ぶどう,budou,N,grapes
無くなる,なくなる,nakunaru,V-godan,"to disappear, to get lost"
準備,じゅんびする,junbisuru,N,prepare
世界,せかい,sekai,N,world
住所,じゅうしょ,juusho,N,"address, place of residence"
再来月,さらいげつ,saraigetsu,N,the month after next
林,はやし,hayashi,N,"woods, forest"
倍,ばい,bai,N,double
痩せる,やせる,yaseru,V-ichi,to lose weight
線,せん,sen,N,"line, wire"
戦争,せんそう,sensou,N,war
決める,きめる,kimeru,V-ichi,to decide
調べる,しらべる,shiraberu,V-ichi,"to check, to look up, to inquire"
寝坊,ねぼう,nebou,N,sleeping in late
パパ,パパ,papa,N(kat),"papa, daddy"
光る,ひかる,hikaru,V-godan,"to shine, to glitter"
夫,おっと,otto,N,husband
雲,くも,kumo,N,cloud
坂,さか,saka,N,"slope, hill"
～(て) しまう,～(て) しまう,～(te) shimau,Suf,to end up ~
飛行場,ひこうじょう,hikoujou,N,airport
柔道,じゅうどう,juudou,N,judo
決して,けっして,kesshite,Adv,never
事務所,じむしょ,jimusho,N,office
連絡,れんらく,renraku,N,"communication, contact, connection"
小学校,しょうがっこう,shougakkou,N,elementary school
客,きゃく,kyaku,N,"guest, customer"
昔,むかし,mukashi,N,"old days, past"
美しい,うつくしい,utsukushii,N,"beautiful, lovely"
捨てる,すてる,suteru,N,"throw away, dump, discard"
なさる,なさる,nasaru,Expr,-- honorific expression for する --
事,こと,koto,N,"thing, matter, fact"
どんどん,どんどん,dondon,N,quickly and steadily
試合,しあい,shiai,N,"match, game, competition"
適当,てきとう,tekitou,N,"fitness, suitability"
素晴らしい,すばらしい,subarashii,N,"wonderful, terrific"
美術館,びじゅつかん,bijutsukan,N,"art gallery, art museum"
文法,ぶんぽう,bunpou,N,grammar
終わり,おわり,owari,N,end
壁,かべ,kabe,N,wall
一度,いちど,ichido,N,"once, one time"
お礼,おれい,orei,Expr,"expression of gratitude, thanking"
親切,しんせつ,shinsetsu,な-A,kindness
知らせる,しらせる,shiraseru,V-ichi,to notify
歯医者,はいしゃ,haisha,N,dentist
熱心,ねっしん,nesshin,N,enthusiasm
始める,はじめる,hajimeru,V-ichi,"to start, to begin"
もらう,もらう,morau,V-godan,to receive
泣く,なく,naku,V-godan,to cry
治る,なおる,naoru,V-godan,to get better
熱,ねつ,netsu,N,"fever, temperature"
お祭り,おまつり,omatsuri,N,festival
水道,すいどう,suidou,N,"water service, water line"
匂い,におい,nioi,N,"odor, smell"
ベル,ベル,beru,N(kat),bell
赤ん坊,あかんぼう,akanbou,N,baby
おかしい,おかしい,okashii,い-A,"strange, odd, funny"
事故,じこ,jiko,N,accident
変,へん,hen,な-A,"strange, odd"
辞典,じてん,jiten,N,"encyclopedia, reference book"
残る,のこる,nokoru,V-godan,"to remain, to be left"
立てる,たてる,tateru,V-ichi,"to stand  up, to erect"
